    IC        Pins  #/IC   Function
--------------------------------------------------------------------------------------
    7400      14    4      Dual Input NAND  {MC74ACT00N,DM74ALS00AN}      
    7401      14    4      Dual Input NAND gate (OC)                  
    7402      14    4      Dual Input NOR gate                        
    7403      14    4      Dual Input NAND gate (OC)                  
    7404      14    6      Inverter     {SN7404N}    {MC74F04N}       
    7405      14    6      Inverter (OC) {HD74LS05P} (Keyboard)       
    7406      14    6      30V/40mA Inverter                          
    7407      14    6      Buffer/Driver (OC)                         
    7408      14    4      Dual Input AND gate                        
    7409      14    4      Dual Input AND gate (OC) {SN74LS09N}       
    7410      14    3      Triple Input NAND gate {SN74LS10}          
    7411      14    3      Triple Input AND gate                      
    7412      14    3      Triple Input AND gate                      
    7413      14    2      Schmitt Trigger NAND                       
    7414      14    6      Schmitt Trigger Inverter                   
    7415      14    3      Tri-State AND gate                         
    7416      14    6      15V/40mA Inverter                          
    7417      14    6      15V/40mA Buffer                            
    7420      14    2      Quad Input NAND gate                       
    7421      14    2      Quad Input AND gate                        
    7422      14    2      Quad Input NAND gate (OC)                  
    7423      16    2      Quad Input NOR gate with strobe            
    7424      -     2      Quad Input NOR gate                         
    7425      14    2      Quad Input NOR gate with strobe            
    7426      14    4      Dual Input NAND gate                       
    7427      14    3      Triple Input NOR gate                      
    7428      14    4      Dual Input NOR Buffer                      
    7430      14    1      8 Input NAND gate                          
    7432      14    4      Dual Input OR gate                         
    7433      14    4      Dual Input NOR Buffer                      
    7437      14    4      Dual Input NAND Buffer                     
    7438      14    4      Dual Input NAND Buffer (OC)                
    7439      14    4      Dual Input NAND Buffer (OC)                
    7440      14    2      Quad Input NAND Buffer                     
    7442      16    -      BCD to Decimal Decoder/Driver               
    7445      16    -      BCD to Decimal Decoder/Driver               
    7446      16    -      BCD to 7 Segment LED Decoder/Driver         
    7447      16    1      BCD to 7 Segment LED Decoder/Driver        
    7448      16    -      BCD to 7 Segment LED Decoder                
    7449      14    -      BCD to 7 Segment LED Decoder                
    7450      14    2      Dual Input AND inverter                    
    7451      14    2      Dual Input AND/OR                          
    7453      14    -      4 Wide AND/OR inverter gate                 
    7454      14    4      Dual Input Inverter                        
    7464      -     -      4-2-3-2 Input AND/OR inverter               
    7470      14    -      Gated edge-triggered JK Flip-Flop          
    7472      14    -      J-K Master/Slave Pulse-Triggered J-K FF     
    7473      14    2      J-K Flip-Flop with Clear                  
    7474      14    2      D Flip-Flop With Preset and Clear         
    7475      16    1      4-bit Bistable Latch                      
    7476      16    2      J-K Flip-Flop                             
    7478      14    2      Edge Triggered J-K Flip-Flop              
    7480      14    -      Gated Full Adder                           
    7483      16    1      4-bit Binary Full Adder                   
    7485      16    -      4-bit Magnitude Comparator                 
    7486      14    4      Dual Input XOR gate                       
    7489      16    1      64-bit RAM, open collector output         
    7490      14    -      Decade Counter                             
    7491      14    -      8-bit Shift Register                       
    7492      -     -      Divide by 12 Counter                        
    7493      14    -      Divide by 16 Counter                       
    7495      14    -      4-bit Right/Left Shift Register            
    7496      -     -      5-bit Shift Register                        
    7497      16    -      6-bit Rate Multiplier                      
